class_id,mean_iou,std_iou,count
1,0.5426144830893357,0.32482067486673133,621
2,0.39554406676398035,0.29408533730653685,386
3,0.3410930186771213,0.25081415929273454,125
4,0.31556990324582657,0.29164273365720017,35
